date,firm_employment_total,firm_employment_total_sa
1991-07-01,4189382.1875,4164127.3096
1991-10-01,4102128.7518,4124938.6979
1992-01-01,4110154.7279,4128383.0013
1992-04-01,4131880.2806,4115852.182
1992-07-01,4083001.9075,4058807.4751
1992-10-01,3967781.314,3989150.1033
1993-01-01,3932889.857,3950291.9689
1993-04-01,4005380.8105,3990466.5877
1993-07-01,3990035.8105,3966640.4936
1993-10-01,3930424.906,3950758.8571
1994-01-01,3902414.7141,3919517.1932
1994-04-01,3915089.7659,3901273.3411
1994-07-01,3972065.82,3949093.5799
1994-10-01,3928850.8196,3948186.6025
1995-01-01,3938710.8943,3955909.9454
1995-04-01,3942750.3872,3929362.6759
1995-07-01,3957709.6444,3935641.6537
1995-10-01,3906925.0673,3924782.4085
1996-01-01,3888135.9091,3904815.0706
1996-04-01,3909793.0544,3897573.9719
1996-07-01,3898628.493,3877646.7197
1996-10-01,3852869.1499,3868787.4092
1997-01-01,3841042.6051,3857283.5478
1997-04-01,3857746.3435,3847042.3818
1997-07-01,3884423.8579,3863926.7953
1997-10-01,3849158.3999,3863555.7957
1998-01-01,3859362.6865,3875395.7474
1998-04-01,3901885.1757,3892563.2452
1998-07-01,3919614.9934,3899086.815
1998-10-01,3895955.8573,3909039.8565
1999-01-01,3911130.2537,3927490.7268
1999-04-01,3964335.1683,3955936.0812
1999-07-01,4002811.6844,3982053.1495
1999-10-01,4008445.3815,4020559.8332
2000-01-01,4033438.5342,4050351.2393
2000-04-01,4084756.6866,4077339.9671
2000-07-01,4107382.9756,4085991.6197
2000-10-01,4105797.223,4117025.2017
2001-01-01,4123075.6475,4140454.2744
2001-04-01,4140747.5061,4134438.5481
2001-07-01,4167659.8081,4145712.2973
2001-10-01,4140296.1884,4150572.6397
2002-01-01,4133915.9414,4151478.7694
2002-04-01,4148416.5023,4143290.9104
2002-07-01,4185769.5197,4163274.4512
2002-10-01,4128723.9667,4138119.1157
2003-01-01,4109278.5571,4127013.4434
2003-04-01,4130189.7646,4126025.8507
2003-07-01,4148145.8428,4125374.521
2003-10-01,4133841.4776,4142596.3353
2004-01-01,4130897.3016,4148870.6763
2004-04-01,4156086.8341,4153029.9775
2004-07-01,4178109.697,4154342.5502
2004-10-01,4154506.9565,4162929.3664
2005-01-01,4142735.1617,4160983.511
2005-04-01,4179792.927,4177598.0966
2005-07-01,4226573.0553,4201743.2944
2005-10-01,4201120.6075,4209396.5927
2006-01-01,4218969.4969,4237765.7049
2006-04-01,4257922.5566,4256290.8305
2006-07-01,4329158.4436,4303335.1202
2006-10-01,4329011.7284,4337057.0198
2007-01-01,4344365.8107,4364069.6581
2007-04-01,4408230.2637,4406996.2607
2007-07-01,4468187.9185,4441169.388
2007-10-01,4477282.3016,4485288.3168
2008-01-01,4502710.3209,4523239.5863
2008-04-01,4560412.0442,4559753.8283
2008-07-01,4601047.3465,4572776.4357
2008-10-01,4543311.2387,4551332.2474
2009-01-01,4525196.6909,4545607.736
2009-04-01,4523370.9453,4523412.4602
2009-07-01,4548073.1388,4519981.9913
2009-10-01,4527411.6656,4534901.8592
2010-01-01,4530916.5543,4551505.6626
2010-04-01,4563344.2096,4563501.7298
2010-07-01,4603705.8727,4575863.873
2010-10-01,4593691.5452,4600351.8457
2011-01-01,4569438.3183,4590375.4001
2011-04-01,4620384.3386,4620593.5461
2011-07-01,4657358.5696,4630171.9969
2011-10-01,4638094.3356,4643427.9791
2012-01-01,4649923.4237,4671583.4756
2012-04-01,4700261.0456,4700467.5869
2012-07-01,4762415.4115,4735818.1084
2012-10-01,4743910.6515,4747816.4393
2013-01-01,4741226.4776,4763542.3108
2013-04-01,4777275.2928,4777610.7598
2013-07-01,4818193.7927,4792489.6824
2013-10-01,4793057.2475,4795498.3686
2014-01-01,4787760.0024,4810433.3639
2014-04-01,4814277.4828,4814671.7465
2014-07-01,4855627.2253,4831087.6463
2014-10-01,4841567.6293,4842556.6852
2015-01-01,4825944.8639,4848754.835
2015-04-01,4871139.3903,4871733.6516
2015-07-01,4907196.8725,4883709.7908
2015-10-01,4902677.3708,4902232.1998
2016-01-01,4874303.4634,4897144.8215
2016-04-01,4908751.5035,4909682.9978
2016-07-01,4935075.2965,4912882.7092
2016-10-01,4943859.4241,4941838.4746
2017-01-01,4911060.4609,4933784.6315
2017-04-01,4944412.9987,4945704.5633
2017-07-01,4989643.1775,4968868.7668
2017-10-01,5003577.8851,4999678.4891
2018-01-01,5005086.2207,5028215.702
2018-04-01,5035544.7303,5036866.0944
2018-07-01,5060867.6478,5041650.8576
2018-10-01,5062668.0806,5057167.2254
2019-01-01,5065754.3046,5088591.2591
2019-04-01,5108749.1862,5110475.412
2019-07-01,5140716.8844,5122801.9701
2019-10-01,5135511.3795,5128719.4739
2020-01-01,5134813.2834,5156999.9252
2020-04-01,5101982.9939,5104349.948
2020-07-01,5150796.7761,5134214.9808
2020-10-01,5157215.6532,5149555.4982
2021-01-01,5130414.0055,5151219.1661
2021-04-01,5178040.1961,5181379.6424
2021-07-01,5245009.7332,5229295.4262
2021-10-01,5273910.0211,5265319.8237
2022-01-01,5276094.0164,5296224.5464
2022-04-01,5321262.3153,5325497.6942
2022-07-01,5367585.4188,5352718.8707
2022-10-01,5396461.1255,5386767.4692
2023-01-01,5390469.1227,5410080.2586
2023-04-01,5435524.8127,5440509.3111
2023-07-01,5468726.0117,5454704.9149
2023-10-01,5491235.8256,5480448.7674
2024-01-01,5482784.1014,5502034.9504
2024-04-01,5496262.9569,5501790.6657
2024-07-01,5528993.8796,5515749.4041
2024-10-01,5535444.746,5523949.3036
2025-01-01,5511284.6393,5529963.9845
2025-04-01,5515476.4641,5521288.8123
2025-07-01,5531816.2788,5519483.1575
2025-10-01,5544105.5694,5532164.4509
