date,gdp_nom_csa,gdp_nom_cssa,gdp_nom_nasa,gdp_real_csa,gdp_real_cssa,gdp_real_nasa
1980-01-01,50870.6180388267,50870.6180388268,49949.5215735596,91191.377449122,91191.3774491219,89202.3992855341
1980-04-01,51589.1446214272,51589.1446214273,51718.7350780042,91654.1173856165,91654.1173856164,91839.6996107304
1980-07-01,52513.4658212934,52513.4658212935,52002.7299308671,92101.6299555753,92101.6299555752,91077.8989770857
1980-10-01,53339.752018117,53339.7520181171,54793.8176330851,92639.2586647213,92639.2586647211,95603.7899794124
1981-01-01,54375.8160553943,54375.8160553944,52977.6588461135,92657.9134678079,92657.9134678079,90183.6009769552
1981-04-01,55376.645297778,55376.6452977781,55522.0137701578,93539.4388034164,93539.4388034163,93716.4632148534
1981-07-01,56529.1029685959,56529.102968596,56051.2316907138,93820.6046395656,93820.6046395656,92951.6654237371
1981-10-01,57563.9741829747,57563.9741829748,59242.518267027,93674.7644599386,93674.7644599386,96760.551154434
1982-01-01,58319.8380431689,58319.838043169,57055.0290933851,92868.6627772004,92868.6627772004,90694.5380812284
1982-04-01,59218.7780361761,59218.7780361762,59324.427081101,92390.0300193995,92390.0300193995,92530.2615228387
1982-07-01,59558.1248052249,59558.124805225,59074.5720197184,91729.4810949674,91729.4810949672,90924.2398150716
1982-10-01,59956.4404308038,59956.4404308038,61638.1104410384,91729.0824956874,91729.0824956873,94571.0969838201
1983-01-01,60303.4010299229,60303.4010299229,59277.0273303926,92203.2436599208,92203.2436599208,90386.1271571208
1983-04-01,60610.5081312476,60610.5081312477,60666.8895778404,92447.7955122634,92447.7955122633,92476.6219362762
1983-07-01,61226.6985576034,61226.6985576035,60588.2908488397,92931.1807854932,92931.1807854931,92015.745852971
1983-10-01,62087.6738677659,62087.673867766,63722.6974246094,93468.0744582002,93468.0744582002,96198.056105487
1984-01-01,63539.6137431693,63539.6137431696,62628.273085548,94176.5177782582,94176.5177782583,92442.5962858524
1984-04-01,64678.7189121558,64678.718912156,64803.0940466723,94847.7009409312,94847.7009409313,94888.4222044056
1984-07-01,65927.0155289791,65927.0155289792,65212.9572940553,96181.142552232,96181.142552232,95299.6166824031
1984-10-01,66740.8213998866,66740.8213998862,68418.2527536376,96928.0307947866,96928.0307947864,99609.592168492
1985-01-01,67816.1539520798,67816.1539520787,66576.5390437936,98108.8752310712,98108.8752310707,95914.828988163
1985-04-01,68888.1629755131,68888.1629755121,68938.6812580236,98846.4021179132,98846.4021179128,98793.0268083895
1985-07-01,69528.1790626989,69528.1790626989,68747.0196004841,99173.4512465917,99173.4512465916,98209.9367775966
1985-10-01,70725.01367363,70725.0136736319,72536.5210712276,100362.261626295,100362.261626295,103364.396157093
1986-01-01,71575.3824641154,71575.3824641204,70056.9901735929,100596.745039263,100596.745039264,97949.0181043826
1986-04-01,72741.2102930831,72741.2102930875,73132.8720001176,101080.48416501,101080.484165012,101475.956699583
1986-07-01,73039.8707009766,73039.8707009764,72364.099159024,101095.65199505,101095.651995051,100166.711145398
1986-10-01,73276.4592452819,73276.4592452727,74945.3105242886,101001.623819646,101001.623819642,104055.933482319
1987-01-01,73874.4807513075,73874.4807512845,72329.7450278924,101168.53772993,101168.53772992,98701.9356083563
1987-04-01,74597.7125598747,74597.7125598544,74710.2555191086,101860.316672915,101860.316672905,101846.436484483
1987-07-01,75955.312579899,75955.3125798998,75468.5824280964,103253.646035944,103253.646035943,102495.385310249
1987-10-01,77205.0260983171,77205.0260983595,79069.5693535047,103851.47648306,103851.476483079,107003.606906132
1988-01-01,77934.3823534096,77934.3823535159,76919.1091452921,104354.059033427,104354.059033477,102561.907755382
1988-04-01,78945.9702214963,78945.9702215905,78993.4087554666,104874.015312188,104874.015312236,104743.181947225
1988-07-01,80468.0544792745,80468.0544792708,79881.7245020391,106097.029449838,106097.029449837,105321.07187289
1988-10-01,82522.6752471648,82522.6752469681,84358.9752130792,107878.412186086,107878.412185988,110860.899779425
1989-01-01,83631.8804185147,83631.8804180201,82338.1851008477,108386.384351309,108386.384351055,106306.64020722
1989-04-01,85814.3287276574,85814.3287272316,86210.8651044143,110199.735073092,110199.735072883,110475.276981544
1989-07-01,87264.5734326831,87264.573432711,86458.3654822999,111157.522203738,111157.522203756,110292.855764224
1989-10-01,88956.9453139342,88956.9453148267,90562.872349383,112190.420213244,112190.420213688,114752.640871006
1990-01-01,91808.9888526874,91808.988854843,90810.9878884695,114400.886269401,114400.886270401,112647.088561066
1990-04-01,93393.7951827869,93393.7951846238,93568.5176900943,114879.649023447,114879.649024277,114837.059044424
1990-07-01,94439.244138851,94439.2441388319,93527.0459271843,114815.332111174,114815.332111244,113855.431627825
1990-10-01,95256.8810025335,95256.8809985602,96855.485112819,114151.645617162,114151.645615259,116723.337993723
1991-01-01,96921.6770866704,96921.6770758287,95642.0692797363,114404.071871588,114404.071865659,112414.737346545
1991-04-01,97276.9136233238,97276.9136136012,97602.376101816,113215.527883247,113215.52787766,113345.493660199
1991-07-01,98305.663926606,98305.6639268793,97494.6938183466,113124.624189573,113124.624189471,112345.783963475
