date,unemployment_rate_sa
1970-01-01,0.0
1970-02-01,0.00143212
1970-03-01,0.00396389
1970-04-01,0.00481838
1970-05-01,0.00413382
1970-06-01,0.00310607
1970-07-01,0.00350031
1970-08-01,0.00627381
1970-09-01,0.01186145
1970-10-01,0.00463676
1970-11-01,0.0052731
1970-12-01,0.00368681
1971-01-01,0.0
1971-02-01,0.0
1971-03-01,0.00230172
1971-04-01,0.00066533
1971-05-01,0.00320545
1971-06-01,0.00386864
1971-07-01,0.00364801
1971-08-01,0.00549721
1971-09-01,0.01533566
1971-10-01,0.00785969
1971-11-01,0.00697713
1971-12-01,0.00648903
1972-01-01,0.0
1972-02-01,0.00774966
1972-03-01,0.00115122
1972-04-01,0.00263357
1972-05-01,0.0015017
1972-06-01,0.00187896
1972-07-01,0.00748808
1972-08-01,0.0092672
1972-09-01,0.024013
1972-10-01,0.01041354
1972-11-01,0.00797647
1972-12-01,0.00423735
1973-01-01,0.0
1973-02-01,0.0
1973-03-01,0.0
1973-04-01,0.0
1973-05-01,0.0
1973-06-01,0.00359773
1973-07-01,0.01251808
1973-08-01,0.01944627
1973-09-01,0.03830421
1973-10-01,0.02052113
1973-11-01,0.00958364
1973-12-01,0.00163242
1974-01-01,0.0
1974-02-01,0.0
1974-03-01,0.0
1974-04-01,0.0
1974-05-01,0.0
1974-06-01,0.00939107
1974-07-01,0.02753177
1974-08-01,0.04030096
1974-09-01,0.05453288
1974-10-01,0.04316791
1974-11-01,0.0328047
1974-12-01,0.0190627
1975-01-01,0.00628178
1975-02-01,0.04404743
1975-03-01,0.09810513
1975-04-01,0.14578495
1975-05-01,0.19561479
1975-06-01,0.26097688
1975-07-01,0.32320147
1975-08-01,0.39406278
1975-09-01,0.47521161
1975-10-01,0.56704418
1975-11-01,0.67904115
1975-12-01,0.82919741
1976-01-01,0.94449917
1976-02-01,0.98855816
1976-03-01,0.87058482
1976-04-01,0.79882625
1976-05-01,0.73174806
1976-06-01,0.67075468
1976-07-01,0.56647461
1976-08-01,0.54079202
1976-09-01,0.50530076
1976-10-01,0.48744287
1976-11-01,0.51065077
1976-12-01,0.5274659
1977-01-01,0.57593372
1977-02-01,0.48154318
1977-03-01,0.41167566
1977-04-01,0.40868905
1977-05-01,0.39203557
1977-06-01,0.37063801
1977-07-01,0.35983367
1977-08-01,0.35551647
1977-09-01,0.33528004
1977-10-01,0.34268016
1977-11-01,0.3510796
1977-12-01,0.33388099
1978-01-01,0.36466599
1978-02-01,0.37018773
1978-03-01,0.32065534
1978-04-01,0.30596853
1978-05-01,0.30844075
1978-06-01,0.31789343
1978-07-01,0.32305604
1978-08-01,0.3355127
1978-09-01,0.34260124
1978-10-01,0.35729141
1978-11-01,0.37220682
1978-12-01,0.38536037
1979-01-01,0.42476976
1979-02-01,0.36124267
1979-03-01,0.35885691
1979-04-01,0.35265464
1979-05-01,0.35590618
1979-06-01,0.34974852
1979-07-01,0.34645418
1979-08-01,0.33508201
1979-09-01,0.32454329
1979-10-01,0.3030269
1979-11-01,0.27461701
1979-12-01,0.25351704
1980-01-01,0.2366102
1980-02-01,0.1855566
1980-03-01,0.21058901
1980-04-01,0.20578022
1980-05-01,0.199426
1980-06-01,0.20720032
1980-07-01,0.21686337
1980-08-01,0.22032193
1980-09-01,0.22192394
1980-10-01,0.20477764
1980-11-01,0.18662306
1980-12-01,0.16342231
1981-01-01,0.14823342
1981-02-01,0.10615172
1981-03-01,0.14149943
1981-04-01,0.15003236
1981-05-01,0.15940248
1981-06-01,0.17931842
1981-07-01,0.20016526
1981-08-01,0.21818953
1981-09-01,0.2329529
1981-10-01,0.23847025
1981-11-01,0.23246328
1981-12-01,0.23992937
1982-01-01,0.23728086
1982-02-01,0.20254659
1982-03-01,0.2617381
1982-04-01,0.2892029
1982-05-01,0.33917427
1982-06-01,0.37462175
1982-07-01,0.41415924
1982-08-01,0.47359777
1982-09-01,0.52049229
1982-10-01,0.58833489
1982-11-01,0.65220661
1982-12-01,0.68569437
1983-01-01,0.77785034
1983-02-01,0.81765977
1983-03-01,0.81932528
1983-04-01,0.84657171
1983-05-01,0.90047375
1983-06-01,0.89305176
1983-07-01,0.87403261
1983-08-01,0.90577716
1983-09-01,0.9249605
1983-10-01,0.9476342
1983-11-01,0.98472361
1983-12-01,0.95023622
1984-01-01,1.01166759
1984-02-01,1.0598954
1984-03-01,1.09007471
1984-04-01,1.12545736
1984-05-01,1.1365402
1984-06-01,1.14756326
1984-07-01,1.14458454
1984-08-01,1.14065152
1984-09-01,1.12049765
1984-10-01,1.13491297
1984-11-01,1.13846542
1984-12-01,1.12357633
1985-01-01,1.10635568
1985-02-01,1.06803954
1985-03-01,1.03377883
1985-04-01,1.00443422
1985-05-01,0.96931139
1985-06-01,0.93372981
1985-07-01,0.93031225
1985-08-01,0.91792567
1985-09-01,0.89911161
